,Unnamed: 0,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target,cleaned
0,1,1.16E+18,1.16E+18,8/18/2019,lowerdepression," mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",['#depressed'],"#Depressed mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems.",0," mood can be caused by infectious diseases, nutritional deficiencies, neurological conditions, and physiological problems."
1,6,1.16E+18,1.16E+18,8/18/2019,chrisbontheweb,"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this",['#depressed'],"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel #depressed. Hope I get through this",1,"With all of this unnessary  family drama, I feel like moving far away and starting over again. From one thing to another I just feel . Hope I get through this"
2,11,1.16E+18,1.16E+18,8/18/2019,wildfoxtherapy,"I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're  or . Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/gBQn7yEjsJ","['#depressed', '#anxious']","I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're #depressed or #anxious. Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. pic.twitter.com/gBQn7yEjsJ",0,"I'm going to keep banging on about this, cos it's true. What you focus on, you get more of. Stop telling yourself you're  or . Tell yourself you're happy, strong, confident, powerful. Not only cos you ARE, but cos your brilliant mind listens to what you tell it. "
3,14,1.16E+18,1.16E+18,8/18/2019,simonblue16,Ugh. Woke up to the same acne covered face this morning... Yyayyy????,"['#skin', '#sundaythoughts', '#depressed']",Ugh. Woke up to the same acne covered face this morning... Yyayyy???? #skin #SundayThoughts #depressed,0,Ugh. Woke up to the same acne covered face this morning. Yyay?
4,16,1.16E+18,1.16E+18,8/18/2019,puffpuffnpass1,Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,"['#stoner', '#instahookah', '#depressed']",#stoner #instahookah #depressed Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0,Portable Transparent Tobacco Rolling Machine  
5,18,1.16E+18,1.16E+18,8/18/2019,lowerdepression,Certain medications are known to cause  mood in a significant number of patients.,['#depressed'],Certain medications are known to cause #depressed mood in a significant number of patients.,0,Certain medications are known to cause  mood in a significant number of patients.
6,23,1.16E+18,1.16E+18,8/18/2019,bobymcboby,"I feel so sad because i can't be happy, and that makes me more unhappy  ",['#depressed'],"I feel so sad because i can't be happy, and that makes me more unhappy  #depressed",1,"I feel so sad because i can't be happy, and that makes me more unhappy  "
7,27,1.16E+18,1.16E+18,8/18/2019,depressedaunty,I went to church with my mom and a huge chunk of the sermon was basically if youre  its because your faith is weak and ... this is why I dont go to church or tell my mom Im on antidepressants ???????,"['#depressed', '#itsoknottobeok']",I went to church with my mom and a huge chunk of the sermon was basically if youre #depressed its because your faith is weak and ... this is why I dont go to church or tell my mom Im on antidepressants ??????? #ItsOkNotToBeOk,1,I went to church with my mom and a huge chunk of the sermon was basically if youre  its because your faith is weak and . this is why I dont go to church or tell my mom Im on antidepressants ?
8,38,1.16E+18,1.16E+18,8/18/2019,joshstebbins2,No love here....    pic.twitter.com/FuvBXIPRnu,"['#lonely', '#depressed']",No love here.... #lonely #depressed  pic.twitter.com/FuvBXIPRnu,1,No love here. 
9,39,1.16E+18,1.16E+18,8/18/2019,hokey_hoke18,I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing????????    pic.twitter.com/yiiq7LQqk7,"['#suicidal', '#depressed', '#depression']",I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing???????? #suicidal #depressed #depression pic.twitter.com/yiiq7LQqk7,1,I see so many people moving forward with their life and doing great things and here I am doing absolutely nothing? 
